shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
3,41.76108287,-111.8189252,461,
3_2,41.76207703,-111.8189037,462,
3,41.76207703,-111.8189037,462,
3_2,41.76211684,-111.818915,463,
3,41.76211684,-111.818915,463,
3_2,41.76213939,-111.8189306,464,
3,41.76213939,-111.8189306,464,
3_2,41.76215953,-111.8189583,465,
3,41.76215953,-111.8189583,465,
3_2,41.76216382,-111.8189826,466,
3,41.76216382,-111.8189826,466,
3_2,41.76216365,-111.8189977,467,
3,41.76216365,-111.8189977,467,
3_2,41.76216563,-111.819025,468,
3,41.76216563,-111.819025,468,
3_2,41.7621653,-111.8190553,469,
3,41.7621653,-111.8190553,469,
3_2,41.7621625,-111.8191037,470,
3,41.7621625,-111.8191037,470,
3_2,41.76216452,-111.819128,471,
3,41.76216452,-111.819128,471,
3_2,41.76216116,-111.8192282,472,
3,41.76216116,-111.8192282,472,
3_2,41.76216874,-111.8193653,473,
3,41.76216874,-111.8193653,473,
3_2,41.76216785,-111.8194446,474,
3,41.76216785,-111.8194446,474,
3_2,41.76217001,-111.8196554,475,
3,41.76217001,-111.8196554,475,
3_2,41.76216712,-111.8199066,476,
3,41.76216712,-111.8199066,476,
3_2,41.76217247,-111.8206089,477,
3,41.76217247,-111.8206089,477,
3_2,41.76217394,-111.8206615,478,
3,41.76217394,-111.8206615,478,
3_2,41.76217585,-111.8206863,479,
3,41.76217585,-111.8206863,479,
3_2,41.76217795,-111.8206987,480,
3,41.76217795,-111.8206987,480,
3_2,41.76218005,-111.8207111,481,
3,41.76218005,-111.8207111,481,
3_2,41.76217986,-111.8207235,482,
3,41.76217986,-111.8207235,482,
3_2,41.7621842,-111.8207391,483,
3,41.7621842,-111.8207391,483,
3_2,41.76218406,-111.8207484,484,
3,41.76218406,-111.8207484,484,
3_2,41.76218841,-111.8207639,485,
3,41.76218841,-111.8207639,485,
3_2,41.76219051,-111.8207764,486,
3,41.76219051,-111.8207764,486,
3_2,41.76219032,-111.8207888,487,
3,41.76219032,-111.8207888,487,
3_2,41.76219242,-111.8208012,488,
3,41.76219242,-111.8208012,488,
3_2,41.76219683,-111.8208137,489,
3,41.76219683,-111.8208137,489,
3_2,41.76219893,-111.8208262,490,
3,41.76219893,-111.8208262,490,
3_2,41.76220104,-111.8208386,491,
3,41.76220104,-111.8208386,491,
3_2,41.76220314,-111.8208511,492,
3,41.76220314,-111.8208511,492,
3_2,41.76220525,-111.8208635,493,
3,41.76220525,-111.8208635,493,
3_2,41.7622074,-111.8208729,494,
3,41.7622074,-111.8208729,494,
3_2,41.76221176,-111.8208885,495,
3,41.76221176,-111.8208885,495,
3_2,41.76221622,-111.820898,496,
3,41.76221622,-111.820898,496,
3_2,41.76222293,-111.8209106,497,
3,41.76222293,-111.8209106,497,
3_2,41.76222734,-111.8209231,498,
3,41.76222734,-111.8209231,498,
3_2,41.76223405,-111.8209357,499,
3,41.76223405,-111.8209357,499,
3_2,41.76223846,-111.8209483,500,
3,41.76223846,-111.8209483,500,
3_2,41.76224287,-111.8209608,501,
3,41.76224287,-111.8209608,501,
3_2,41.76224729,-111.8209733,502,
3,41.76224729,-111.8209733,502,
3_2,41.7622494,-111.8209858,503,
3,41.7622494,-111.8209858,503,
3_2,41.76225612,-111.8209984,504,
3,41.76225612,-111.8209984,504,
3_2,41.76226284,-111.8210111,505,
3,41.76226284,-111.8210111,505,
3_2,41.76226961,-111.8210206,506,
3,41.76226961,-111.8210206,506,
3_2,41.76227633,-111.8210332,507,
3,41.76227633,-111.8210332,507,
3_2,41.7622831,-111.8210427,508,
3,41.7622831,-111.8210427,508,
3_2,41.76228983,-111.8210554,509,
3,41.76228983,-111.8210554,509,
3_2,41.76229886,-111.8210681,510,
3,41.76229886,-111.8210681,510,
3_2,41.76230563,-111.8210776,511,
3,41.76230563,-111.8210776,511,
3_2,41.76231246,-111.821084,512,
3,41.76231246,-111.821084,512,
3_2,41.76231919,-111.8210967,513,
3,41.76231919,-111.8210967,513,
3_2,41.76232601,-111.8211031,514,
3,41.76232601,-111.8211031,514,
3_2,41.76233275,-111.8211158,515,
3,41.76233275,-111.8211158,515,
3_2,41.76233957,-111.8211222,516,
3,41.76233957,-111.8211222,516,
3_2,41.76234631,-111.8211349,517,
3,41.76234631,-111.8211349,517,
3_2,41.76235309,-111.8211445,518,
3,41.76235309,-111.8211445,518,
3_2,41.76235757,-111.821154,519,
3,41.76235757,-111.821154,519,
3_2,41.76236667,-111.8211636,520,
3,41.76236667,-111.8211636,520,
