link_id,from_node_id,to_node_id,facility_type,dir_flag,directed_route_id,link_type,link_type_name,length,lanes,capacity,free_speed,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_penalty1,geometry,VDF_allowed_uses1,agency_name,stop_sequence,directed_service_id
1000046,1500061,1500062,bus,1,11.1,1,service_links,371.49344444525815,108,999999,22.267339327388104,0,1.0,107999892,0.15,4,0,"LINESTRING (-111.839653 41.745729, -111.83998 41.742397)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,19,11.1:12;13;14;15;16;17;18;19;20;21;22
1000047,1500062,1500063,bus,1,11.1,1,service_links,337.05255792670937,108,999999,10.106523476063249,0,2.0,107999892,0.15,4,0,"LINESTRING (-111.83998 41.742397, -111.83644 41.74091)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,20,11.1:12;13;14;15;16;17;18;19;20;21;22
1000048,1500063,1500043,bus,1,11.1,1,service_links,475.41774054789545,108,999999,14.255404514179773,0,2.0,107999892,0.15,4,0,"LINESTRING (-111.83644 41.74091, -111.830729 41.740562)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,21,11.1:12;13;14;15;16;17;18;19;20;21;22
1000049,1500044,1500045,bus,1,11.1,1,service_links,471.57150419664885,3,999999,28.266024227571364,0,1.0,2999997,0.15,4,0,"LINESTRING (-111.830729 41.740562, -111.836381 41.741009)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,1,11.1:1;2;3;4;5;6;7;8;9;10;11
1000050,1500045,1500046,bus,1,11.1,1,service_links,308.0984648098632,3,999999,18.467440448143652,0,1.0,2999997,0.15,4,0,"LINESTRING (-111.836381 41.741009, -111.839749 41.742176)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,2,11.1:1;2;3;4;5;6;7;8;9;10;11
1000051,1500046,1500047,bus,1,11.1,1,service_links,338.82601154252586,3,999999,20.30925144111044,0,1.0,2999997,0.15,4,0,"LINESTRING (-111.839749 41.742176, -111.839433 41.745214)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,3,11.1:1;2;3;4;5;6;7;8;9;10;11
1000052,1500047,1500048,bus,1,11.1,1,service_links,508.8078057183024,3,999999,30.497970372725426,0,1.0,2999997,0.15,4,0,"LINESTRING (-111.839433 41.745214, -111.839317 41.749789)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,4,11.1:1;2;3;4;5;6;7;8;9;10;11
1000053,1500048,1500049,bus,1,11.1,1,service_links,373.3931534366144,3,999999,22.38120799819867,0,1.0,2999997,0.15,4,0,"LINESTRING (-111.839317 41.749789, -111.839309 41.753147)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,5,11.1:1;2;3;4;5;6;7;8;9;10;11
1000054,1500049,1500050,bus,1,11.1,1,service_links,288.11447943828256,3,999999,17.269599167129826,0,1.0,2999997,0.15,4,0,"LINESTRING (-111.839309 41.753147, -111.83917 41.755736)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,6,11.1:1;2;3;4;5;6;7;8;9;10;11
1000055,1500050,1500051,bus,1,11.1,1,service_links,283.26554876810684,3,999999,16.978953972114297,0,1.0,2999997,0.15,4,0,"LINESTRING (-111.83917 41.755736, -111.84119 41.75779)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,7,11.1:1;2;3;4;5;6;7;8;9;10;11
