trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
16_1725_I,5734,1,"Logan, Lewiston, Preston","",1,426864,20498,
16_1725_O,5734,1,"USU, Logan, Lewiston, Preston","",0,426864,20499,
1S_1030,5714,2,"USU, Lundstrom, Hillcrest","",1,426874,24624,
1S_1130,5714,2,"USU, Lundstrom, Hillcrest","",1,426874,24624,
1S_1230,5714,2,"USU, Lundstrom, Hillcrest","",1,426874,24624,
1S_1330,5714,2,"USU, Lundstrom, Hillcrest","",1,426874,24624,
1S_1430,5714,2,"USU, Lundstrom, Hillcrest","",1,426874,24624,
1S_1530,5714,2,"USU, Lundstrom, Hillcrest","",1,426874,24624,
1S_1630,5714,2,"USU, Lundstrom, Hillcrest","",1,426874,24624,
1S_1730,5714,2,"USU, Lundstrom, Hillcrest","",1,426874,24624,
1S_1830,5714,2,,"",0,426874,24625,
2_0613,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_0630,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_0700,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_0730,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_0800,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_0830,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_0900,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_0930,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_1000,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_1030,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_1100,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_1130,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_1200,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_1230,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_1300,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_1330,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_1400,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_1430,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_1500,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_1530,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_1600,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_1630,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_1700,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_1730,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_1800,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_1830,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_1900,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_1930,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_2000,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2_2030,5715,1,L.R. Hospital - 800 E,"",0,426855,19734,
2S_1013,5715,2,L.R. Hospital - 800 E,"",1,426875,19753,
2S_1100,5715,2,L.R. Hospital - 800 E,"",1,426875,19753,
2S_1200,5715,2,L.R. Hospital - 800 E,"",1,426875,19753,
2S_1300,5715,2,L.R. Hospital - 800 E,"",1,426875,19753,
2S_1400,5715,2,L.R. Hospital - 800 E,"",1,426875,19753,
2S_1500,5715,2,L.R. Hospital - 800 E,"",1,426875,19753,
2S_1600,5715,2,L.R. Hospital - 800 E,"",1,426875,19753,
2S_1700,5715,2,L.R. Hospital - 800 E,"",1,426875,19753,
2S_1800,5715,2,L.R. Hospital - 800 E,"",1,426875,19753,
3_0605,5716,1,,"",0,426856,22526,
3_0630,5716,1,,"",0,426856,22526,
3_0700,5716,1,,"",0,426856,22526,
3_0730,5716,1,,"",0,426856,22526,
3_0800,5716,1,,"",0,426856,22526,
3_0830,5716,1,,"",0,426856,22526,
3_0900,5716,1,,"",0,426856,22526,
3_0930,5716,1,,"",0,426856,22526,
3_1000,5716,1,,"",0,426856,22526,
3_1030,5716,1,,"",0,426856,22526,
3_1100,5716,1,,"",0,426856,22526,
3_1130,5716,1,,"",0,426856,22526,
3_1200,5716,1,,"",0,426856,22526,
3_1230,5716,1,,"",0,426856,22526,
3_1300,5716,1,,"",0,426856,22526,
3_1330,5716,1,,"",0,426856,22526,
3_1400,5716,1,,"",0,426856,22526,
3_1430,5716,1,,"",0,426856,22526,
3_1500,5716,1,,"",0,426856,22526,
3_1530,5716,1,,"",0,426856,22526,
3_1600,5716,1,,"",0,426856,22526,
3_1630,5716,1,,"",0,426856,22526,
3_1700,5716,1,,"",0,426856,22526,
3_1730,5716,1,,"",0,426856,22526,
3_1800,5716,1,,"",0,426856,22526,
3_1830,5716,1,,"",0,426856,22526,
3_1900,5716,1,,"",0,426856,22526,
3_1930,5716,1,,"",0,426856,22526,
3_2000,5716,1,,"",0,426856,22526,
3_2030,5716,1,,"",0,426856,22526,
3S_1000,5716,2,,"",0,426876,22525,
3S_1100,5716,2,,"",0,426876,22525,
3S_1200,5716,2,,"",0,426876,22525,
3S_1300,5716,2,,"",0,426876,22525,
3S_1400,5716,2,,"",0,426876,22525,
